wav_file,label,transcription
Ses03F_script01_1_F053,5,yeah . i can see that .
Ses04M_impro07_M008,1,yeah .
Ses03F_impro08_M011,0,i i m going to kill myself right now .
Ses02F_script03_1_F029,1,it was ridiculous . completely ridiculous .
Ses01F_script03_2_F001,1,oh . you knew there was nothing in that .
Ses01M_script03_2_F010,5,no thank you .
Ses05F_impro02_F006,3,iraq .
Ses03F_script03_2_F030,2,i don t want to talk about this anymore .
Ses01F_script01_2_M003,2, breathing you don t look at me like that . he didn t tell me anything more than he told you .
Ses03M_impro01_F004,2,no no no no no . you re going to have to go back over on the other side second door up the stairs . . .
Ses02F_impro07_M004,1,wow that s . . .
Ses04M_script02_1_M032,1,they don t know what drives them . they don t give it a name or ask a question . they just turn as one and start the swim that brings them here to this place where we stand for a massive celebration of sex and death . oh man i m giving myself goose bumps . all my hairs are popping up .
Ses02M_script03_1_M006,3,what do we do if they suddenly walk in on us ?
Ses04F_script01_3_M030,2,it takes a lot of time to toss that off because they weren t just men .
Ses04M_impro07_F000,4,what no way .
Ses05M_script01_1_F031,4,what the hell is this ?
Ses02M_impro07_F002,4,oh u .s .c . ? oh my gosh that s awesome that was your top choice right ?
Ses03M_script02_2_F041,2,well i guess this is the wrong spot for the right people .
Ses03M_impro04_F023,5,well . . . if you need something i mean you re just going to can get a temporary thing right now and then look for something 
Ses03M_impro04_F005,4,well that s what ? for what job ? who . . .what jobs are you looking for ?
Ses05F_impro03_F020,1,yeah . yeah of course .
Ses05M_impro07_F025,5,um 
Ses05M_impro04_M020,0,let me know that s that s fine . you think i have an abrasive vibe whatever . you re entitled to your opinion of course . maybe that s why i don t have a job .
Ses01F_script03_1_F002,3,it had to happen sooner or later . what are we going to do ?
Ses03F_script01_2_M005,2,listen kid 
Ses02M_impro06_M011,2,yes i mean she cared about all of us . she was great
Ses03F_impro02_F021,2,you know as much as as much as me that i i want to stay here with you and amy so bad but i can t .
Ses02M_script03_2_F042,0,you re a beast . i hate you . stop it . stop it .
Ses05M_impro01_F003,5,yeah . so i can t i can t do anything 
Ses05M_impro07_M047,1,great . okay .
Ses03F_script01_3_M017,4,why didn t you ?
Ses02F_impro07_M016,5,so . . .
Ses05F_script03_2_F029,0,why ?
Ses02M_impro01_F005,5,i i can take your driver s license but i need another form of id in order to process this paper work .
Ses05F_script03_1_M019,1,no no it isn t . death is very laughable . come such a cunning little mystery all done with mirrors .
Ses05F_impro02_F011,2,iraq .
Ses03M_script01_1_M012,0,that we haven t had any hope for years now ?
Ses04F_impro03_F034,1,throw in a little little uh trim in yellow . maybe some yellow flowers .
Ses05F_impro07_M016,1,sure why not . i don t know why not i m not doing anything i have no plans i could live anywhere i want .
Ses03M_script02_1_M001,1,look at the night we got . i wouldn t trade this for anything .
Ses04M_impro05_M030,2,but your job is not my concern . my concern is getting my luggage .
Ses02F_impro05_M005,5,um we d be willing to give you uh fifty dollars for 
Ses01F_impro06_M007,2,yeah .
Ses03M_impro06_F004,2,you guys were real close huh ?
Ses05M_impro03_M011,1,and she s like she feels it you know and she doesn t know what it is . and she you know helps me get out and i won t let go of her hand . and she s like what are you doing ? i and said you saved my life now will you marry me ?
Ses01F_script02_1_M030,4,for real ?
Ses04F_script01_1_M000,5,he saw it .
Ses03M_script02_2_M042,1,hey look what we got here .
Ses01M_script01_1_F001,4,when ?
Ses03F_script02_1_M038,1,and they all all as one turned as one and formed this line as big as the california coast and started swimming this way . swimming as if that s the only thing that matters .
Ses01M_script03_1_F030,1,which particular one ?
Ses03M_impro08a_F014,0,i want to talk to a supervisor
Ses03F_script01_3_M045,1,annie 
Ses02M_script03_1_M006,3,what do we do if they suddenly walk in on us ?
Ses05F_script01_2_M003,2,how do you know he is even thinking about it ?
Ses04M_script01_3_M025,2,well i lost them .
Ses04F_impro07_F079,1,me .
Ses04M_impro03_F005,1,oh my god . how long have you been planning on doing this ?
Ses02M_script03_1_M000,3,good god .
Ses01F_script03_1_M000,3,good god .
Ses04M_script02_2_M029,0,well welcome to the human race . you think this is what i had in mind ? you think that when i proposed i had this great fantasy going that four years down the line we d come to the beach and yell at each other over fish ? no .
Ses05F_script01_2_M013,2,calm yourself !
Ses04F_impro04_M027,2,so go to mcdonalds .
Ses05F_impro06_F026,2,it s hard to say good bye .
Ses03F_script01_1_M001,5,he was out there when it happened .
Ses04F_impro07_F058,1,excellent . drive drunk people around because you know that s all campus cruisers for .
Ses03M_impro07_F016,1,man i m just so happy for you . i just 
Ses04F_impro01_M017,2,and uh throw it away . i need you to fill out a new form .
Ses05M_impro08_M002,5,you ve lost your connection .
Ses05F_script02_2_F007,2,for heaven s sake augie grow up we are not going to see the grunions .
Ses02F_script03_1_F002,3,what re we gonna do ?
Ses01F_script01_1_M043,2,no . you don t . i m a pretty tough guy .
Ses02M_script03_1_M003,3,we re all right darling aren t we whatever happens ?
Ses01M_script03_1_M000,3,good god .
Ses03F_script02_2_M035,2,yeah maybe if you were with someone else too .
Ses04F_impro02_F003,2,i m going to come back . i need you to believe that .
Ses01F_impro05_F016,0,we flew in from paris . i ve been shopping for three weeks .
Ses04F_script02_2_M019,5,wait a minute . i ve got it .
Ses01F_script01_3_M014,4,you felt something that far back ?
Ses03F_impro07_F003,4,pregnant ? what are you talking about ? no .
Ses03M_impro07_M007,1,yeah .
Ses01M_script01_1_F003,4,what was he doing here at four in the morning ?
Ses02F_impro04_M019,5,well come on come on . thinking about it like this is definitely not gonna help either though .
Ses05F_impro08_M020,5,are you taking the late fee off of my account then ?
Ses01F_script01_3_F000,5,you re the only one who still loves his parents .
Ses02M_impro02_M007,2,you gotta take care of our baby for me alright ?
Ses03M_script01_1_M045,2,i know . just you help me stay here .
Ses02M_script01_2_F000,0,why did he invite her here ?
Ses04M_impro05_F015,2,we only cover fifty dollars worth of lost items .
Ses04F_impro02_M024,2,i don t know how else to leave it . what do you want me to lie to you ?
Ses05M_impro08_M020,5,well if it does happen again let me give you my direct number and you can call me . actually i ll give you my cell number . um it s 
Ses04F_script03_1_F007,1,certainly i shall probably do a court curtsy .
Ses02M_impro06_F001,4,oh my god . oh my god i m so sorry .
Ses04F_impro05_F007,4,wait . what ?
Ses03M_impro05b_F020,5,i mean our airline s fault . i don t know what happened misplaced something happened but we will get you 
Ses05M_script01_2_F017,0,i can t help it .
Ses04F_impro05_F014,0,you have to make amends for what you did for losing my bag and all of my stuff . fifty dollars is unacceptable .
Ses03M_impro03_F029,4,what ?
Ses03M_script01_3_M036,2,and then i came here and it was incredible . there was no meaning in it here . the whole thing to them was a kind of bus accident .
Ses05F_script01_3_F024,5,do you still feel like that ?
Ses03F_script02_2_M014,2,you were fine during the phone call from marge . dinner was okay . doing the dishes was no problem . let s see . i took a shower . you were watching the news . you said augie i think the grunion are running . i said great let s go . i feel lucky tonight .
Ses01F_script01_2_M009,2,hey look it s a nice day huh ? why are we arguing ?
Ses03F_script03_1_F003,3,what are we to do ?
Ses05M_impro02_F015,3,are you gonna be like in tanks running around ? what i mean what does that mean ?
Ses01F_script03_1_M003,3, breathing 
Ses04M_impro03_F017,1,i m so excited for you . that s great . i m so 
Ses02M_impro04_M022,2,right . thanks for talking to me .
Ses02M_impro07_F025,1,well there are all kinds of awesome secrets so you ll really enjoy it . it s really great . i m so glad .
Ses02M_script01_3_F027,2,i mean and your money there s there s nothing wrong with your money . i mean your father put hundreds of planes in the air . a man should be paid for that .
Ses05M_script01_1b_M041,0,no you don t . i m a pretty tough guy .
Ses03F_script03_1_F002,3,i mean nobody knows we re here except for freda and she wouldn t ring up .
Ses03M_impro08a_F017,2,that s ridiculous . you know ?
Ses05F_impro02_M005,0,i thought you said this wasn t going to happen for at least a year .
Ses03F_impro02_F012,2,yeah
Ses03M_impro03_M001,1,esmeralda guess what ?
Ses03M_impro03_F028,4,what ?
Ses03F_impro02_F011,2,it s going it s going to be probably in about three weeks .
Ses04F_script01_3_M031,2,for instance one time it had been raining several days and this kid came to me and gave me his last pair of dry socks .
Ses03M_impro08b_F013,2,look i am on the road all the time . do you understand how important ? i m a woman a single mother by herself working . . .what ?
Ses04F_impro08_M025,2,you know what . i you know what ? you know what ? no it s fine . it s fine it s fine you know what ?
Ses02F_script03_1_F027,5,that was the first time you ever hit me .
Ses02M_script01_1_F022,2,you can go on from there if you know where to go but i don t know where to go see i don t know . so what can i do for you ?
Ses04F_script02_2_F037,2,i know you are augie . really i do . i know you wanted this to be special and nice and it s the full moon and the sand and all but i just couldn t help thinking about being somewhere else .
Ses05F_script02_1_M019,1,think about people in kansas they have to get a a plane reservation and a hotel reservation just to see this uh but we are just forty minutes away . too good to pass up .
Ses02F_impro03_M014,5,that s great . yeah .
Ses01M_script03_1_M003,3,we re okay right darling ? whatever happens we re okay ?
Ses03M_impro01_M013,2,give me my 
Ses01F_script02_1_M007,5,the flashlight the silver one . there s only one isn t there ?
Ses04M_script02_1_F012,0,i just don t . it s stupid .
Ses01F_impro07_M014,1,teacher . mrs . nash i have a question .
Ses05M_script02_2_M021,2,do you want to get married again ? what ? what do you want a divorce ?
Ses02F_impro07_F033,1,but it ll be fine i mean . i m so excited . it s going to be so fun .
Ses05F_script03_1_F007,1,yes i shall probably do a court curtsey .
Ses01F_script02_1_M023,5,why not ?
Ses04M_script03_2_F028,0,i don t care . do you understand ? i don t care . i don t mind if they bark and roll about like hoops .
Ses03F_script01_3_F014,1,i ve been ready for a long long time .
Ses02M_script02_2_F028,2,i want something to turn out the way that it supposed to .
Ses03M_impro05b_F027,5,yes sir yes .
Ses05F_script01_1_F021,2,i ignore what i got to ignore . the girl is larry s girl .
Ses03M_impro07_F023,5,oh my god . i am so proud of you .
Ses01F_script03_1_F022,1,aw . thank you darling . the same applies to you too except that if you so much as look at another woman i ll kill you .
Ses02M_script03_1_M000,3,good god .
Ses05M_script01_3_M002,4,why ?
Ses01M_impro03_F001,4, breathing 
Ses01F_impro06_M001,5,is there anything i can get you ? do you want me to take care of anything for you or . . . ?
Ses01F_script03_1_F001,3,freda is the only one who knows we are here . she wouldn t ring up .
Ses01M_script01_3_M002,2,why not ?
Ses01F_impro05_M003,5,okay .
Ses04F_impro04_M026,5,hey i d love to help you but i you don t have the kind of training that i 
Ses04M_script03_1_F002,3,what are we to do ?
Ses05M_script01_2_F004,5,he s got that about it .
Ses05M_script02_2_M001,1,what i was just saying .
Ses02M_script02_1_M030,4,for real ?
Ses04M_impro07_F017,1,well congratulations .
Ses02M_impro06_F001,4,oh my god . oh my god i m so sorry .
Ses04F_script02_1_F008,0,there is no point in coming down here .
Ses03F_impro06_M011,2,yeah but you were there all the hospital days . by his bed 
Ses05M_impro02_F019,3,i mean i i know that you re a good soldier but not everybody else is . and what if
Ses02F_script01_3_F014,1,every day since .
Ses03M_script02_1_M020,2,that s my point too . . .no . no . that s not my point . my point is what s the point if we come down here if we just turn around and leave ?
Ses01F_script03_1_F000,3,is it them ?
Ses02M_impro01_M009,0,shouldn t they have like told us about that ? i mean why why would they make me go and wait three hours if i have got to go and do it again ?
Ses05F_impro05_F033,0,what do you mean as you can ? who makes up these rules ?
Ses01M_impro05_M027,0,sure yeah right you have plenty of aggressive searching going on aggressive searching drinking coffee and smoking cigarettes .
Ses01F_impro03_M006,5,he turned to you and was like . . .
Ses04M_script02_2_M037,2,no i know . but still . i know i don t make you happy .
Ses01M_script01_1_F030,0,that s a good answer but it doesn t answer anything . you haven t seen her since you went away to war it s been five years .
Ses01F_script03_1_M001,3,i wonder .
Ses02M_impro06_M009,2,not being able to see anyone again who knows where they really went you know . i mean i guess we can just hope that wherever they are now if it s anywhere that it s better i mean .
Ses04M_script01_1_F013,0,to you it is and to me but not to him . you can talk yourself blue in the face but there s no body and no grave so where are you ?
Ses03M_impro02_F037,2,finish your master s that you were started never finished .
Ses04F_impro07_F051,1,yeah . it will work out . maybe i could work at red lobster .
Ses01F_impro05_M010,5,i don t see any record of it and i usually when i don t see a record of it that means um 
Ses02F_impro08_F004,5,oh yeah absolutely . you know and especially because you ve been waiting so long and i know that um you ve been having a difficult time .
Ses02F_impro01_M014,2,well the weekends are not as busy . maybe you can uh come and try to get here early 
Ses02F_impro05_F003,4,how do you lose a suitcase ? a huge suitcase ?
Ses03M_impro01_F024,2,no you cannot get your license . you filled out the wrong part of the form .
Ses04F_script03_2_M039,0,amanda listen .
Ses02F_impro03_M012,1,yeah i know . wow . i m shaking . i can t even 
Ses02F_impro04_F007,2,i didn t have like one of those starts you know like a family member who was already in the business or something you know that could like give me a helping hand .
Ses05F_impro06_F017,2,yeah i m just going to miss him .
Ses01M_script03_2_M016,2,really amanda .
Ses02F_script01_2_F005,0,it s got that all about it .
Ses02F_script01_1_M043,5,i am thinkin that way .
Ses03M_impro02_M032,4,what ?
Ses04F_script03_2_M024,5,did you see much of peter burden after our divorce ?
Ses03M_impro02_M033,4,are you kidding me ? no .
Ses03M_impro01_F007,2,i think you re being a little condescending .
Ses04M_script03_1_F002,3,what are we to do ?
Ses01F_script03_1_F000,3,is it them ?
Ses05M_script03_2_M038,0,turn it off !
Ses03M_impro02_M027,2,i know . i know . but they really need some good guys there .
Ses05M_impro02_F002,3,what ? no you can t !
Ses05F_script01_1_F005,2,he cried hard .
Ses05M_script02_1_M033,1,well so what do you think ?
Ses03M_impro08a_F013,0,you sign the contract and then down the line the phone doesn t work and you re stuck you can t go to a new . . .no . no contracts for me . you give me a new phone .
Ses02M_impro07_M015,1,you re half the reason i m going . laughter 
Ses01M_script01_2_M009,2,what do you want me to do ? what do you want ?
Ses05M_script01_1b_F001,4,what do you mean ? i was the first one up he was still in bed .
Ses05M_impro03_F004,1,okay good . i i assumed .
Ses04F_script03_1_M001,3,i wonder .
Ses01F_impro05_F019,0,if you re if you re if you re looking for a lawsuit baby you ve found it .
Ses04F_impro04_M022,5,or some some large percent of of success .
Ses01F_impro04_M013,5,it s kind of helpful when getting a job .
Ses04M_script03_1_F002,3,what are we to do ?
Ses04M_script01_1_F041,0,but don t think that way you hear me ?
Ses01F_impro05_M032,4,badge number ? uh no . you can just take my employee number i guess .
Ses03M_impro05b_M014,0,okay so you can put me in holiday inn for twenty dollar a night ?
Ses04F_script03_1_M002,3,it must be them then .
Ses01M_impro03_M003,5,well she s not a citizen so she wants to get a visa .
Ses01M_script03_1_F002,3,what we re going to do ?
Ses02M_script03_1_F016,3,well what happens if one of us dies does the one that s left still laugh ?
Ses05M_script01_1_M029,2,because it is .
Ses04M_script03_1_M002,3,it must be them then .
Ses04F_script02_2_M033,2,no no i m just like you . i thought it was going to be all peaches and roses and sand in our hair and wind in our
Ses05F_impro08_M024,4,really ?
Ses05M_script02_2_M033,4,really ?
Ses02M_impro07_M017,1,you know what i mean i bet the home games are just like nuts you know .
Ses03F_impro02_M015,2, breathing 
Ses03F_script03_1_F002,3,i mean nobody knows we re here except for freda and she wouldn t ring up .
Ses02F_script03_2_M019,2,yes it is .
Ses02M_impro05_M004,4,for some reason so you think it won t show up ?
Ses01F_script01_1_M011,2,for god s sake three years ? nobody comes back after three years that s insane .
Ses03M_impro06_F007,2,what happened ? what went wrong ?
Ses02M_impro05_M002,5,yes yes it s gone around like you know twenty times . it s been about a half hour .
Ses01M_script01_1_F001,4,when ?
Ses04M_script02_1_F015,2,this isn t a moon landing we re talking about . it s fish . it s fish nobody even eats .
Ses01M_script03_1_F015,1, laughter don t laugh at me i m being serious .
Ses04M_impro05_F014,2,we only cover fifty do 
Ses02F_script03_2_M045,0,i wouldn t i wouldn t marry 
Ses01M_impro03_F004,1,oh she just needs to marry you .
Ses04F_script01_1_F023,0,from father s point of view he s not dead and you have no right to take his girl .
Ses02F_script01_2_M014,2,all right . all right . calm yourself .
Ses01M_script03_1_M029,1,come here darling kiss me
Ses05M_impro02_F003,3,you didn t did you tell them you have two young children at home ?
Ses04F_impro06_F004,2,yeah i know . but i d rather have him here with me you know . it s just not fair . i mean he he didn t get to do like anything . i mean he was 
Ses05F_script02_1_F017,2,last year you also remember our shoes got wet and i got sand in my panties and we got into a big fight . you had a sore throat and we did not see the grunions .
Ses05F_script01_3_F022,2,how many ?
Ses03M_impro03_F004,1,are you serious garbage man ?
Ses04M_script02_1_F002,0,it s not yours .
Ses05M_script01_3_M002,4,why ?
Ses04F_impro04_F011,0,clearly everything you re doing is completely wrong .
Ses05F_script02_2_M020,1,take off our shoes ?
Ses03M_script03_1_F004,1,i mean it was it s bound to come out sooner or later .
Ses05M_script03_2_F001,5,only a trivial little broach .
Ses01M_script02_2_M023,5,it was when we were driving passed that knickerbocker liquor locker and you would said no you said let s get some champagne and i said no time to wasting or something like that . that s what it is right ?
Ses02F_script03_2_M041,0,you re a vile tempered loose living wicked little beast and i hope to never see you again as long as i live .
Ses04M_impro02_F013,2,well unagree . tell them that you can t leave right now . i can t do this by myself . i can t do this without you .
Ses03F_script01_3_M017,4,why didn t you ?
Ses05F_impro02_F006,3,iraq .
Ses04F_impro07_M002,4,get out .
Ses01M_script01_3_M024,2,it s kind of all mixed up with all these other things .
Ses04F_script01_3_M025,2,i don t know where to start .
Ses05F_script02_2_F011,2,i did i do want to see it . i always want to see it augie .
Ses05F_impro02_F013,2,it s going to be at least six months probably a year . i tried .
Ses02M_impro05_M018,0,you don t realize the stuff that i ve got in that i really need to get the suitcase okay
Ses01M_impro07_M021,4,oh you mean it s not really sport that what you re saying ?
Ses05F_impro05_M002,5,from london okay . um and you went through all your proper checkpoints ?
Ses05M_script01_1b_M032,0,but if that can t happen then i ll just get out .
Ses02M_script02_1_F012,2,i don t it s just stupid .
Ses02M_impro06_M003,2,i mean at least she was home she wasn t in the hospital anymore 
Ses04M_impro06_M006,2,i mean they re you know they re upset . it s like you know they
Ses02M_script03_2_M027,0,no restraint at all very enjoyable never had much anyhow .
Ses04M_impro05_F028,2,we ll just throw that in gratuitously .
Ses03M_impro08a_M017,5,don t you 
Ses05F_impro05_M006,5,but uh i don t see it here in the airport yet . uh
Ses05M_script03_1_M002,3,must be them then ?
Ses03M_impro02_F017,2,i m sick of being strong for us .
Ses02M_script01_3_M004,4,what ?
Ses04F_script03_1_M002,3,it must be them then .
Ses05F_script02_1_M004,2,the flashlight the silver one there s only one isn t there ?
Ses04F_impro04_M001,5,well i guess you re not trying hard enough .
Ses05M_impro01_F009,5,i know .
Ses02M_impro03_M011,1,so i i talked to some of the crew before hand and 
Ses02F_script01_1_F017,2,i ve got an idea but what s the story ?
Ses02M_impro05_M004,4,for some reason so you think it won t show up ?
Ses05F_script03_1_M006,3,oh what shall we do if they suddenly walk in on us ?
Ses01F_impro05_M033,4,why ? have i done something wrong ? have i given you bad service ? i feel like i have done the best i could .
Ses01M_script01_3_F006,2,you ve been kind of embarrassed ever since i got here .
Ses03F_script03_1_F003,3,what are we to do ?
Ses02F_impro02_M006,2,this is gonna be a a crucial yet she s she s growing up . she s gonna need you .
Ses05F_script01_3_M016,1,oh god i kissed annie ! i can t believe i kissed annie ! how long i ve wanted to do this .
Ses03F_impro06_F018,2,such a sweet person you know ?
Ses01F_script03_1_M002,3,it must be them then .
Ses02F_impro06_M004,5,i mean you know at least he s not in anymore pain now right ?
Ses03M_impro03_M018,1,dim down the lights and uh i got on one of the tables pulled her up .
Ses05M_impro06_F006,2,you guys have been 
Ses01M_impro07_F000,5,yeah .
Ses05F_impro04_M036,5,of course .
Ses01M_impro06_M006,2,and i ve kind of been dealing with all of the . . .the stuff you know the hospital and people work because . . .
Ses02M_script03_1_F024,1,it went on intermittently for days .
Ses02F_script02_1_M019,5,right .
Ses05F_impro04_M015,5,if it s rent or something like that i mean i can help you out a little bit if if that will help you you know stick with it .
Ses05F_script02_1_M029,1,look there what s that ? is it ? is that a ah it s a seaweed isn t it ?
Ses05F_impro01_M000,5,ahh yeah this is the wrong line . i m sorry . you need to go back over to line two b . that s where you should have started from .
Ses04F_script03_2_M040,0,very amusing .
Ses04M_impro07_F016,1,give or take . laughter 
Ses03F_script02_1_M000,1,hey what time is it ? they re supposed to run around midnight right ? god this is great isn t it ?
Ses05F_script02_1_M002,1,is that no no no is that foam ? i can t even tell although if i if i can t tell it probably isn t it ? right it ll probably be unmistakable but don t you think ? how you doing ?
Ses01M_script03_1_F002,3,what we re going to do ?
Ses04M_script03_1_F001,3,nobody knows we re here except freda and she wouldn t ring up .
Ses04F_script02_2_M043,5,actually now that you mention it no i don t .
Ses04M_script03_1_F001,3,nobody knows we re here except freda and she wouldn t ring up .
Ses02M_script03_1_M000,3,good god .
Ses04M_impro07_F003,1,know you applied to u .s .c . .
Ses01M_impro05_M024,0,fifty dollars is not going to cover me for my job okay ?
Ses05M_script03_1_F004,1,it was bound to happen sooner or later .
Ses02F_impro05_F002,4,some problems ? what is that supposed to mean ?
Ses03F_impro02_F007,1,well umm actually they i was promoted .
Ses01F_script01_3_M005,5,well i was kind of planning of sneaking up on you over the course of a week or so . they just take it for granted that we re all set .
Ses04F_impro05_F005,0,it s not like it just disappeared into thin air . somebody wasn t paying attention
Ses01F_impro04_M002,5,no . there s regular jobs on there .
Ses02F_script02_2_F038,2,you re the one who probably wishes you were with someone else . someone who you d rather enjoy yourself and didn t take everything so hard .
Ses04M_impro08_M011,5,what i can
Ses05F_impro04_M043,5,you know i ll always help you .
Ses05F_impro05_F014,2,yes lots of really like sentimental value only but 
Ses01M_script02_2_F038,4,are you kidding me ? for heaven sake augie anything i m doing i d rather be doing it with you .
Ses01F_script02_2_F001,5,about what ?
Ses04M_script03_1_M000,3,good god .
Ses02F_impro08_F014,5,yeah .
Ses03M_script02_1_M005,1,oh you know what i forgot ? i forgot my flashlight . how could i be so stupid ? i should ve brought my flashlight .
Ses03F_impro04_M008,5,you are you re going to class you re learning you re getting better . when you finally get that role you re going to be prepared .
Ses03F_script02_2_F034,2,this what ? what is this ? this is nothing .
Ses04M_script03_1_M000,3,good god .
Ses03F_script01_2_F011,2,she s faithful as a rock don t you know . in my worst moments i can think of her 
Ses02F_script03_1_F001,3,well nobody know we re here except freda and she wouldn t ring up .
Ses01M_script01_1_F002,4,how could he see it ? i was the first one up and he was still in bed .
Ses03F_impro04_M010,5,you re only twenty five okay ? some people don t start until they re thirty five .
Ses02F_impro01_M013,2,okay . but how do i that s that s not proof to me . how do i know that you know that it s really you . i need 
Ses01M_impro03_M000,1,the craziest thing just happened to me .
Ses05M_script03_1_M002,3,must be them then ?
Ses04F_impro07_M070,1,i dork .
Ses03F_script01_3_F031,2,geez .
Ses04M_script02_1_M024,4,for real ?
Ses03M_impro05b_M007,2,okay . i m leaving la tomorrow for san diego driving there . so i m going to leave without all my lost property ? that s what you want me to do ? um
Ses05M_script02_2_M037,1,well it isn t champagne .
Ses03F_impro08_F006,5,you re going to have to just be patient with us sir as we
Ses03M_impro08b_M010,5,okay . how about this we ll send you a brand new camera phone with palm pilot and 
Ses05F_impro07_M033,1,that s a good idea .
Ses01M_script03_1_M003,3,we re okay right darling ? whatever happens we re okay ?
Ses05F_impro01_M018,2,it doesn t work that way here ma am .
Ses05F_impro05_F009,2,yes sir i know what my bag looks like .
Ses02M_script02_1_M003,1,how you doing ?
Ses01F_impro06_F016,5,i brought i brought chuck with me . he went to redlands yeah for the day . we ran through the sprinklers .
Ses03F_script02_1_M002,1,you know actually i wanted to go a little further up the coast to get away from all the the people and the lights and uh but i thought we d miss it . hey how you doing ?
Ses04F_impro01_F008,0,i ve been to the back of the line five times .
Ses02F_script03_1_F001,3,well nobody know we re here except freda and she wouldn t ring up .
Ses05F_script03_2_F023,0,mind your own business .
Ses03F_script03_2_M030,0,okay . as i mentioned before i said i had three very minute liquor glasses . that s hardly enough to get a child of two drunk .
Ses05M_script03_2_M024,5,so did you see much of peter burden after the divorce ?
Ses03M_impro04_M014,5,oh yeah ? what kind of jobs they got ?
Ses02F_impro08_F008,5,i can do that right now for you . no absolutely . i can take care of you all the way through to the end .
Ses04F_impro08_F015,2,cindy ?
Ses03M_script01_3_M008,1,i mean that s the reason why i asked you here .
Ses04M_impro05_F037,5,i know . i understand it s personal it s personal to you . i get that .
Ses01F_impro05_F001,2,yeah . this is the fourth line that i have been in .
Ses05M_impro06_M004,2,you know he was gonna and we all the way up to the end we were just talking about how you know all the stuff we were gonna do and you know . when he finally kicked this stupid cancer you know and we were gonna 
Ses05F_impro03_M041,1,exactly laugh .
Ses03F_impro06_F019,2,not very good .
Ses05M_impro07_M032,1,really ?
Ses01F_script01_1_M012,5,sit down mom . i want to talk to you .
Ses02M_impro06_M021,2,it s just going to take a while i think .
Ses02F_impro08_M013,5,um you know window is nice . i guess
Ses05M_script03_2_F038,0,stop . would you just go away ? i mean you re conceited and overbearing and utterly impossible .
Ses05F_impro04_M002,2,i wish i had some answers for you babe . i mean i don t know what to tell you .
Ses04F_script01_1_F035,0,are you crazy ?
Ses03F_impro07_M025,5,we should uh go to little ethiopia .
Ses05F_impro01_F004,2,can you just can i just get the right 
Ses01M_script03_1_M003,3,we re okay right darling ? whatever happens we re okay ?
Ses01M_impro03_M014,5,yeah . make her like open the bank account and stuff too .
Ses05M_impro02_F015,3,are you gonna be like in tanks running around ? what i mean what does that mean ?
Ses03M_script01_2_M010,2,what do you want me to do ? what do you want ?
Ses03M_script03_2_F024,0,adders don t snap they sting .
Ses04F_script01_3_F015,1,i ll never forgive you . why did you wait all these years ? all i ve done is sit and wonder if i was crazy for thinking of you .
Ses05F_impro02_M039,4,three weeks ?
Ses03M_script01_3_M040,2,cause you can take those things out of the war . but you got to know when you drive that car that it came out of the love that a man can have for a man and you got to be a little bit better because of that .
Ses05M_impro08_M026,1,great . well that makes me very happy . that makes us all happy here at d .s .l . extreme . is there anything else i can help you with ?
Ses03M_script01_1_M000,2,he saw it .
Ses04F_script02_2_F041,2,somebody who knew how to enjoy herself and didn t take everything so hard .
Ses02F_script02_1_M043,5,well so what do you think ?
